Flight_ID,Flight_Date,Flight_Month,Flight_DayOfWeek,Airline,Origin,Destination,Aircraft,Travel_Class,Passengers,Seat_Capacity,Average_Ticket_Price,Delay_Minutes,Delay_Category,Flight_Status,Weather,Booking_Channel,Avg_Baggage_Kg,Meal_Preference,Fare_Category,Passenger_Satisfaction
FL0023,2026-02-02,February,Monday,Akasa Air,Delhi,Mumbai,Airbus A319,Economy,52,210,4620,12.0,Low,On Time,Fog,Mobile App,9,Non-Vegetarian,Low,2
FL0075,2026-02-03,February,Tuesday,Akasa Air,Jaipur,Mumbai,Boeing 737,Economy,153,180,6464,5.0,Low,On Time,Clear,Airline Website,18,Non-Vegetarian,Medium,5
FL0132,2026-02-04,February,Wednesday,Air India,Hyderabad,Kolkata,Airbus A321,Economy,61,220,3483,75.0,Severe,Delayed,Clear,Mobile App,18,No Meal,Low,5
FL0143,2026-02-05,February,Thursday,IndiGo,Kochi,Delhi,Airbus A319,Premium Economy,181,189,7406,0.0,None,On Time,Cloudy,Travel Agency,5,Vegan,Medium,5
FL0036,2026-02-06,February,Friday,Akasa Air,Delhi,Chennai,Airbus A320,Economy,113,189,3471,12.0,Low,On Time,Rain,Online Travel Portal,15,Vegetarian,Low,5
FL0029,2026-02-06,February,Friday,Air India Express,Mumbai,Bengaluru,Airbus A321,Premium Economy,185,189,8098,0.0,None,On Time,Rain,Travel Agency,22,Vegan,Medium,4
FL0088,2026-02-08,February,Sunday,Vistara,Delhi,Srinagar,Airbus A321,Economy,75,210,4156,0.0,None,On Time,Cloudy,Travel Agency,20,Vegetarian,Low,3
FL0171,2026-02-09,February,Monday,SpiceJet,Ahmedabad,Bengaluru,Boeing 737,Business,138,220,12597,20.0,Moderate,Delayed,Storm,Mobile App,21,Non-Vegetarian,High,3
FL0027,2026-02-10,February,Tuesday,SpiceJet,Bengaluru,Hyderabad,Airbus A319,Economy,169,180,3973,110.0,Severe,Delayed,Clear,Mobile App,7,Vegan,Low,4
FL0149,2026-02-10,February,Tuesday,Akasa Air,Jaipur,Mumbai,Airbus A319,Economy,202,210,6239,5.0,Low,On Time,Rain,Online Travel Portal,8,No Meal,Medium,5
FL0169,2026-02-10,February,Tuesday,IndiGo,Delhi,Chennai,Airbus A320,Economy,152,220,4051,35.0,Moderate,Delayed,Clear,Online Travel Portal,10,No Meal,Low,2
FL0086,2026-02-10,February,Tuesday,Vistara,Delhi,Chennai,Airbus A319,Premium Economy,52,180,8607,0.0,None,On Time,Clear,Airline Website,16,Vegetarian,Medium,4
FL0133,2026-02-10,February,Tuesday,IndiGo,Pune,Delhi,Airbus A321,Business,164,180,15324,0.0,None,On Time,Storm,Travel Agency,20,Vegetarian,High,4
FL0119,2026-02-10,February,Tuesday,Air India Express,Delhi,Chennai,Boeing 737,Economy,66,189,3705,5.0,Low,On Time,Clear,Mobile App,14,Vegetarian,Low,2
FL0062,2026-02-12,February,Thursday,Air India,Bengaluru,Hyderabad,Airbus A319,Economy,131,210,6129,0.0,None,On Time,Clear,Travel Agency,7,Non-Vegetarian,Medium,3
FL0122,2026-02-13,February,Friday,Air India,Mumbai,Kolkata,Airbus A319,Economy,178,189,5514,0.0,None,On Time,Rain,Airline Website,25,Non-Vegetarian,Medium,5
FL0177,2026-02-17,February,Tuesday,Vistara,Chennai,Mumbai,Airbus A320,Business,124,180,17306,20.0,Moderate,Delayed,Cloudy,Mobile App,8,No Meal,High,5
FL0147,2026-02-18,February,Wednesday,IndiGo,Mumbai,Kolkata,Airbus A319,Premium Economy,115,210,9106,110.0,Severe,Delayed,Rain,Online Travel Portal,19,Vegetarian,Medium,5
FL0091,2026-02-21,February,Saturday,Vistara,Bengaluru,Kochi,Airbus A320,Economy,52,189,2251,0.0,None,On Time,Fog,Online Travel Portal,15,Non-Vegetarian,Low,2
FL0158,2026-02-24,February,Tuesday,Vistara,Mumbai,Kolkata,Boeing 737,Economy,176,186,3479,75.0,Severe,Delayed,Fog,Travel Agency,14,Vegetarian,Low,4
FL0072,2026-02-25,February,Wednesday,IndiGo,Bengaluru,Hyderabad,Airbus A320,Economy,166,186,5227,5.0,Low,On Time,Clear,Mobile App,17,Vegetarian,Medium,5
FL0144,2026-02-25,February,Wednesday,Akasa Air,Mumbai,Bengaluru,Airbus A319,Economy,50,210,5522,12.0,Low,On Time,Storm,Airline Website,25,Vegan,Medium,3
FL0087,2026-02-26,February,Thursday,SpiceJet,Chennai,Mumbai,Airbus A320,Economy,68,189,4704,5.0,Low,On Time,Cloudy,Online Travel Portal,22,Vegan,Low,3
FL0141,2026-02-26,February,Thursday,SpiceJet,Delhi,Srinagar,Boeing 737,Economy,100,210,4660,12.0,Low,On Time,Clear,Online Travel Portal,21,Vegan,Low,4
FL0005,2026-02-27,February,Friday,Air India,Pune,Delhi,Airbus A319,Premium Economy,178,180,6505,20.0,Moderate,Delayed,Cloudy,Airline Website,25,No Meal,Medium,5
FL0077,2026-02-27,February,Friday,Vistara,Kochi,Delhi,Airbus A319,Economy,150,180,3399,12.0,Low,On Time,Storm,Travel Agency,12,Non-Vegetarian,Low,5
FL0113,2026-03-01,March,Sunday,Air India Express,Bengaluru,Hyderabad,Airbus A319,Premium Economy,132,186,7119,0.0,None,On Time,Cloudy,Online Travel Portal,21,Non-Vegetarian,Medium,5
FL0126,2026-03-04,March,Wednesday,Air India,Bengaluru,Kochi,Airbus A319,Economy,125,210,2516,5.0,Low,On Time,Clear,Online Travel Portal,15,No Meal,Low,5
FL0066,2026-03-06,March,Friday,SpiceJet,Srinagar,Delhi,Airbus A320,Economy,83,210,4418,,None,Cancelled,Cloudy,Travel Agency,19,Vegetarian,Low,5
FL0123,2026-03-07,March,Saturday,Air India Express,Mumbai,Kolkata,Airbus A319,Premium Economy,148,210,8932,0.0,None,On Time,Cloudy,Mobile App,17,Vegetarian,Medium,4
FL0082,2026-03-07,March,Saturday,Vistara,Bengaluru,Kochi,Airbus A319,Economy,59,180,3793,0.0,None,On Time,Storm,Airline Website,14,Non-Vegetarian,Low,2
FL0052,2026-03-07,March,Saturday,SpiceJet,Jaipur,Mumbai,Airbus A320,Business,163,210,13824,0.0,None,On Time,Rain,Travel Agency,6,Vegetarian,High,2
FL0028,2026-03-09,March,Monday,SpiceJet,Chennai,Mumbai,Boeing 737,Economy,49,220,3311,0.0,None,On Time,Clear,Online Travel Portal,17,Non-Vegetarian,Low,2
FL0018,2026-03-09,March,Monday,Air India Express,Jaipur,Mumbai,Airbus A321,Economy,88,180,6133,20.0,Moderate,Delayed,Clear,Travel Agency,13,Vegetarian,Medium,4
FL0069,2026-03-09,March,Monday,SpiceJet,Kochi,Delhi,Airbus A321,Economy,107,186,5911,,None,Cancelled,Cloudy,Online Travel Portal,23,Non-Vegetarian,Medium,5
FL0110,2026-03-10,March,Tuesday,Akasa Air,Delhi,Srinagar,Airbus A319,Economy,141,189,4046,0.0,None,On Time,Cloudy,Mobile App,23,Vegetarian,Low,3
FL0142,2026-03-10,March,Tuesday,SpiceJet,Delhi,Srinagar,Airbus A320,Economy,175,180,4825,0.0,None,On Time,Fog,Travel Agency,16,Vegan,Low,5
FL0097,2026-03-10,March,Tuesday,Vistara,Kochi,Delhi,Airbus A319,Economy,90,186,6145,20.0,Moderate,Delayed,Fog,Airline Website,13,Vegan,Medium,2
FL0042,2026-03-12,March,Thursday,IndiGo,Delhi,Chennai,Boeing 737,Economy,122,186,5670,12.0,Low,On Time,Storm,Airline Website,21,Vegan,Medium,5
FL0039,2026-03-12,March,Thursday,IndiGo,Chennai,Mumbai,Airbus A320,Economy,65,220,5085,20.0,Moderate,Delayed,Rain,Mobile App,19,Non-Vegetarian,Medium,3
FL0155,2026-03-12,March,Thursday,SpiceJet,Kochi,Delhi,Airbus A319,Economy,75,189,3070,12.0,Low,On Time,Fog,Online Travel Portal,20,Vegan,Low,5
FL0137,2026-03-14,March,Saturday,Vistara,Mumbai,Bengaluru,Airbus A319,Economy,73,186,1949,35.0,Moderate,Delayed,Rain,Airline Website,22,Non-Vegetarian,Low,5
FL0089,2026-03-15,March,Sunday,Air India Express,Pune,Delhi,Boeing 737,Premium Economy,57,220,10062,0.0,None,On Time,Clear,Travel Agency,9,Vegan,High,5
FL0136,2026-03-16,March,Monday,Vistara,Mumbai,Bengaluru,Boeing 737,Economy,150,180,4587,35.0,Moderate,Delayed,Clear,Airline Website,19,Vegan,Low,4
FL0116,2026-03-17,March,Tuesday,Air India Express,Hyderabad,Kolkata,Boeing 737,Premium Economy,127,180,7931,0.0,None,On Time,Clear,Airline Website,18,Non-Vegetarian,Medium,5
FL0156,2026-03-20,March,Friday,Vistara,Mumbai,Bengaluru,Boeing 737,Business,80,186,15040,0.0,None,On Time,Storm,Online Travel Portal,20,Vegetarian,High,3
FL0040,2026-03-21,March,Saturday,Vistara,Kochi,Delhi,Airbus A319,Economy,178,220,5361,12.0,Low,On Time,Cloudy,Mobile App,20,Vegan,Medium,4
FL0079,2026-03-21,March,Saturday,Vistara,Mumbai,Kolkata,Airbus A320,Economy,45,186,4597,12.0,Low,On Time,Rain,Online Travel Portal,25,No Meal,Low,5
FL0105,2026-03-21,March,Saturday,Vistara,Delhi,Mumbai,Boeing 737,Economy,158,180,3694,50.0,Moderate,Delayed,Storm,Mobile App,6,Vegetarian,Low,3
FL0019,2026-03-22,March,Sunday,Vistara,Bengaluru,Kochi,Airbus A319,Economy,61,180,4986,0.0,None,On Time,Clear,Airline Website,8,Non-Vegetarian,Low,2
FL0001,2026-03-23,March,Monday,SpiceJet,Mumbai,Bengaluru,Airbus A319,Economy,210,180,6894,50.0,Moderate,Delayed,Storm,Online Travel Portal,23,No Meal,Medium,3
FL0041,2026-03-23,March,Monday,Akasa Air,Delhi,Chennai,Airbus A321,Economy,170,189,4013,,None,Cancelled,Fog,Travel Agency,13,No Meal,Low,3
FL0153,2026-03-25,March,Wednesday,Akasa Air,Bengaluru,Hyderabad,Boeing 737,Economy,125,220,2866,0.0,None,On Time,Rain,Travel Agency,20,Vegetarian,Low,2
FL0038,2026-03-27,March,Friday,Air India,Delhi,Srinagar,Airbus A320,Economy,166,210,5972,,None,Cancelled,Rain,Travel Agency,5,Non-Vegetarian,Medium,5
FL0163,2026-03-29,March,Sunday,SpiceJet,Srinagar,Delhi,Boeing 737,Economy,177,220,2385,5.0,Low,On Time,Clear,Travel Agency,23,Vegetarian,Low,5
FL0012,2026-03-30,March,Monday,Akasa Air,Lucknow,Delhi,Boeing 737,Economy,51,220,3046,5.0,Low,On Time,Clear,Online Travel Portal,19,Non-Vegetarian,Low,3
FL0073,2026-03-30,March,Monday,IndiGo,Pune,Delhi,Airbus A320,Economy,151,186,3486,0.0,None,On Time,Rain,Mobile App,19,No Meal,Low,2
FL0071,2026-03-31,March,Tuesday,SpiceJet,Lucknow,Delhi,Boeing 737,Premium Economy,101,180,10380,5.0,Low,On Time,Cloudy,Online Travel Portal,16,Vegetarian,High,2
FL0165,2026-03-31,March,Tuesday,Air India,Ahmedabad,Bengaluru,Airbus A320,Economy,137,220,4992,12.0,Low,On Time,Clear,Mobile App,18,Vegetarian,Low,3
FL0104,2026-04-02,April,Thursday,IndiGo,Bengaluru,Hyderabad,Airbus A320,Economy,92,180,2811,0.0,None,On Time,Rain,Airline Website,25,Non-Vegetarian,Low,2
FL0161,2026-04-03,April,Friday,Vistara,Delhi,Mumbai,Airbus A320,Economy,135,220,6154,,None,Cancelled,Storm,Mobile App,6,Vegetarian,Medium,2
FL0081,2026-04-03,April,Friday,SpiceJet,Delhi,Mumbai,Airbus A320,Economy,199,180,2378,50.0,Moderate,Delayed,Rain,Online Travel Portal,13,No Meal,Low,4
FL0096,2026-04-05,April,Sunday,Akasa Air,Srinagar,Delhi,Boeing 737,Premium Economy,184,220,10970,12.0,Low,On Time,Rain,Mobile App,15,Vegetarian,High,3
FL0084,2026-04-05,April,Sunday,Air India Express,Srinagar,Delhi,Airbus A321,Economy,93,180,6135,0.0,None,On Time,Fog,Airline Website,7,No Meal,Medium,5
FL0080,2026-04-07,April,Tuesday,Vistara,Pune,Delhi,Airbus A320,Economy,155,210,5730,12.0,Low,On Time,Rain,Online Travel Portal,16,Vegan,Medium,5
FL0159,2026-04-08,April,Wednesday,IndiGo,Chennai,Mumbai,Boeing 737,Economy,64,186,6411,0.0,None,On Time,Cloudy,Online Travel Portal,16,Vegetarian,Medium,2
FL0112,2026-04-08,April,Wednesday,IndiGo,Delhi,Mumbai,Boeing 737,Economy,183,220,3008,12.0,Low,On Time,Rain,Airline Website,19,Vegetarian,Low,2
FL0130,2026-04-08,April,Wednesday,Akasa Air,Kochi,Delhi,Boeing 737,Premium Economy,115,189,6890,0.0,None,On Time,Fog,Travel Agency,11,Non-Vegetarian,Medium,3
FL0154,2026-04-09,April,Thursday,Air India,Mumbai,Bengaluru,Airbus A321,Economy,201,186,3823,20.0,Moderate,Delayed,Clear,Online Travel Portal,13,Vegan,Low,2
FL0030,2026-04-10,April,Friday,SpiceJet,Delhi,Srinagar,Airbus A321,Economy,200,210,2716,75.0,Severe,Delayed,Storm,Airline Website,10,Vegan,Low,3
FL0176,2026-04-10,April,Friday,IndiGo,Ahmedabad,Bengaluru,Airbus A320,Economy,48,189,4298,0.0,None,On Time,Storm,Mobile App,11,Vegetarian,Low,5
FL0054,2026-04-11,April,Saturday,SpiceJet,Mumbai,Bengaluru,Airbus A320,Economy,49,180,4738,20.0,Moderate,Delayed,Rain,Mobile App,14,No Meal,Low,3
FL0109,2026-04-12,April,Sunday,SpiceJet,Srinagar,Delhi,Airbus A321,Business,129,180,16390,0.0,None,On Time,Rain,Online Travel Portal,11,Vegan,High,2
FL0058,2026-04-14,April,Tuesday,IndiGo,Hyderabad,Kolkata,Boeing 737,Premium Economy,151,210,6834,110.0,Severe,Delayed,Cloudy,Travel Agency,16,Vegetarian,Medium,4
FL0011,2026-04-17,April,Friday,Air India,Mumbai,Bengaluru,Airbus A321,Economy,195,189,3393,5.0,Low,On Time,Clear,Airline Website,17,Vegetarian,Low,2
FL0083,2026-04-18,April,Saturday,Air India Express,Lucknow,Delhi,Airbus A319,Economy,71,180,2484,110.0,Severe,Delayed,Cloudy,Online Travel Portal,22,Vegetarian,Low,4
FL0094,2026-04-19,April,Sunday,IndiGo,Bengaluru,Hyderabad,Airbus A320,Economy,116,186,4357,5.0,Low,On Time,Storm,Online Travel Portal,16,Non-Vegetarian,Low,5
FL0049,2026-04-19,April,Sunday,SpiceJet,Kochi,Delhi,Airbus A319,Economy,98,189,4968,12.0,Low,On Time,Cloudy,Mobile App,8,Vegetarian,Low,4
FL0044,2026-04-20,April,Monday,Air India Express,Bengaluru,Hyderabad,Airbus A319,Economy,176,186,3075,35.0,Moderate,Delayed,Storm,Travel Agency,16,No Meal,Low,3
FL0057,2026-04-21,April,Tuesday,SpiceJet,Mumbai,Kolkata,Airbus A320,Premium Economy,51,189,10530,12.0,Low,On Time,Rain,Mobile App,23,Vegetarian,High,3
FL0131,2026-04-21,April,Tuesday,Air India Express,Mumbai,Bengaluru,Boeing 737,Economy,159,220,6354,0.0,None,On Time,Cloudy,Travel Agency,14,No Meal,Medium,5
FL0175,2026-04-23,April,Thursday,Akasa Air,Bengaluru,Kochi,Airbus A321,Economy,116,180,5883,0.0,None,On Time,Cloudy,Online Travel Portal,14,Non-Vegetarian,Medium,5
FL0067,2026-04-23,April,Thursday,Vistara,Mumbai,Kolkata,Boeing 737,Premium Economy,109,210,8473,20.0,Moderate,Delayed,Cloudy,Airline Website,24,Vegetarian,Medium,3
FL0106,2026-04-23,April,Thursday,IndiGo,Srinagar,Delhi,Boeing 737,Economy,83,220,3471,50.0,Moderate,Delayed,Fog,Mobile App,23,Non-Vegetarian,Low,3
FL0035,2026-04-24,April,Friday,Vistara,Delhi,Srinagar,Boeing 737,Premium Economy,77,210,11441,0.0,None,On Time,Fog,Travel Agency,9,Vegan,High,3
FL0157,2026-04-25,April,Saturday,Akasa Air,Delhi,Srinagar,Boeing 737,Economy,120,186,2188,35.0,Moderate,Delayed,Storm,Mobile App,14,Non-Vegetarian,Low,2
FL0174,2026-04-27,April,Monday,Vistara,Hyderabad,Kolkata,Airbus A319,Economy,93,189,3392,50.0,Moderate,Delayed,Fog,Airline Website,10,No Meal,Low,3
FL0115,2026-04-27,April,Monday,Air India Express,Delhi,Mumbai,Airbus A319,Economy,77,186,3878,12.0,Low,On Time,Rain,Mobile App,13,Non-Vegetarian,Low,3
FL0033,2026-04-27,April,Monday,Akasa Air,Ahmedabad,Bengaluru,Boeing 737,Business,66,180,17625,35.0,Moderate,Delayed,Cloudy,Mobile App,15,No Meal,High,4
FL0008,2026-04-28,April,Tuesday,Air India,Delhi,Chennai,Airbus A319,Business,157,220,14173,0.0,None,On Time,Fog,Airline Website,25,Vegan,High,5
FL0065,2026-04-28,April,Tuesday,Air India Express,Kochi,Delhi,Airbus A319,Economy,165,186,4002,12.0,Low,On Time,Clear,Mobile App,5,Vegan,Low,3
FL0178,2026-04-30,April,Thursday,IndiGo,Delhi,Mumbai,Airbus A319,Economy,112,186,4490,110.0,Severe,Delayed,Fog,Online Travel Portal,16,Vegetarian,Low,3
FL0055,2026-04-30,April,Thursday,IndiGo,Delhi,Chennai,Airbus A319,Economy,106,220,5432,50.0,Moderate,Delayed,Storm,Mobile App,19,Non-Vegetarian,Medium,2
FL0093,2026-04-30,April,Thursday,Air India Express,Srinagar,Delhi,Airbus A319,Business,209,220,12970,0.0,None,On Time,Clear,Travel Agency,8,Vegan,High,2
FL0168,2026-05-01,May,Friday,Air India,Delhi,Mumbai,Airbus A319,Economy,47,220,6479,0.0,None,On Time,Cloudy,Mobile App,18,Vegan,Medium,4
FL0117,2026-05-02,May,Saturday,IndiGo,Mumbai,Bengaluru,Airbus A319,Economy,88,189,3261,0.0,None,On Time,Storm,Travel Agency,6,No Meal,Low,2
FL0063,2026-05-02,May,Saturday,IndiGo,Lucknow,Delhi,Airbus A319,Premium Economy,127,186,6511,5.0,Low,On Time,Fog,Online Travel Portal,23,Vegan,Medium,4
FL0056,2026-05-02,May,Saturday,Air India Express,Pune,Delhi,Airbus A320,Economy,180,180,6397,5.0,Low,On Time,Fog,Mobile App,14,Non-Vegetarian,Medium,4
FL0051,2026-05-03,May,Sunday,Air India,Delhi,Mumbai,Airbus A321,Economy,135,210,5129,110.0,Severe,Delayed,Rain,Online Travel Portal,17,Vegetarian,Medium,4
FL0085,2026-05-03,May,Sunday,Air India,Lucknow,Delhi,Airbus A319,Economy,45,189,3299,35.0,Moderate,Delayed,Rain,Online Travel Portal,21,Non-Vegetarian,Low,3
FL0100,2026-05-04,May,Monday,Akasa Air,Jaipur,Mumbai,Airbus A320,Economy,64,220,6324,0.0,None,On Time,Fog,Airline Website,24,Vegan,Medium,5
FL0179,2026-05-08,May,Friday,Vistara,Bengaluru,Kochi,Airbus A320,Economy,134,189,5413,20.0,Moderate,Delayed,Rain,Online Travel Portal,9,No Meal,Medium,2
FL0135,2026-05-09,May,Saturday,Akasa Air,Pune,Delhi,Airbus A320,Economy,169,210,3422,0.0,None,On Time,Fog,Travel Agency,15,Vegetarian,Low,2
FL0107,2026-05-11,May,Monday,Akasa Air,Pune,Delhi,Airbus A320,Economy,95,210,3982,0.0,None,On Time,Fog,Airline Website,16,Vegetarian,Low,3
FL0026,2026-05-11,May,Monday,Air India,Ahmedabad,Bengaluru,Boeing 737,Premium Economy,137,186,8836,12.0,Low,On Time,Fog,Online Travel Portal,22,No Meal,Medium,4
FL0047,2026-05-12,May,Tuesday,Air India Express,Bengaluru,Hyderabad,Airbus A320,Economy,164,210,3135,0.0,None,On Time,Clear,Airline Website,8,Vegan,Low,4
FL0003,2026-05-12,May,Tuesday,Air India,Kochi,Delhi,Boeing 737,Economy,67,220,4713,5.0,Low,On Time,Rain,Travel Agency,19,No Meal,Low,2
FL0152,2026-05-14,May,Thursday,IndiGo,Mumbai,Kolkata,Airbus A320,Premium Economy,149,189,7412,0.0,None,On Time,Clear,Online Travel Portal,10,Non-Vegetarian,Medium,2
FL0013,2026-05-14,May,Thursday,SpiceJet,Pune,Delhi,Airbus A319,Economy,162,220,4689,0.0,None,On Time,Cloudy,Mobile App,6,Vegetarian,Low,5
FL0016,2026-05-15,May,Friday,Akasa Air,Mumbai,Bengaluru,Boeing 737,Premium Economy,69,186,7860,0.0,None,On Time,Storm,Mobile App,5,Vegan,Medium,3
FL0053,2026-05-16,May,Saturday,Akasa Air,Mumbai,Bengaluru,Airbus A319,Business,72,210,21499,35.0,Moderate,Delayed,Clear,Mobile App,15,Non-Vegetarian,High,2
FL0111,2026-05-16,May,Saturday,Vistara,Delhi,Mumbai,Airbus A321,Premium Economy,124,186,6711,,None,Cancelled,Cloudy,Mobile App,19,Vegetarian,Medium,4
FL0120,2026-05-16,May,Saturday,Air India,Lucknow,Delhi,Boeing 737,Economy,175,210,4472,20.0,Moderate,Delayed,Cloudy,Airline Website,9,Non-Vegetarian,Low,3
FL0024,2026-05-19,May,Tuesday,SpiceJet,Ahmedabad,Bengaluru,Airbus A319,Economy,110,186,5578,,None,Cancelled,Rain,Travel Agency,9,Vegetarian,Medium,3
FL0151,2026-05-19,May,Tuesday,Air India,Delhi,Mumbai,Boeing 737,Economy,173,189,6741,0.0,None,On Time,Rain,Online Travel Portal,7,No Meal,Medium,5
FL0046,2026-05-19,May,Tuesday,Air India,Mumbai,Kolkata,Airbus A321,Economy,162,186,3371,0.0,None,On Time,Storm,Online Travel Portal,22,Vegetarian,Low,4
FL0125,2026-05-20,May,Wednesday,Akasa Air,Srinagar,Delhi,Boeing 737,Premium Economy,72,180,9266,12.0,Low,On Time,Rain,Online Travel Portal,24,Vegan,Medium,2
